Player,Fantasy Points Pts
Trent Sherfield,83.7
Chris Conley,8.6
Hunter Renfrow,81.0
Rhamondre Stevenson,251.2
Christian McCaffrey,351.0
Breshad Perriman,25.3
T.J. Hockenson,213.4
DJ Turner,2.6
Devin Singletary,183.9
Nico Collins,97.1
Zamir White,7.0
Erik Ezukanma,1.3
Damien Harris,91.0
Chigoziem Okonkwo,95.1
Caleb Huntley,44.9
David Montgomery,181.7
Connor Heyward,35.8
Tommy Sweeney,1.7
Maxx Williams,4.8
Spencer Brown,7.3
Michael Woods II,9.0
Charlie Kolar,8.9
Ian Thomas,40.7
Clyde Edwards-Helaire,98.3
Deebo Samuel,172.4
Brevin Jordan,26.8
Logan Thomas,77.3
Kylin Hill,0.7
Noah Gray,70.0
James Proche,14.2
Tim Jones,6.0
Julius Chestnut,8.3
Jesper Horsted,4.9
Brandon Bolden,27.3
Corey Clement,21.9
Marquise Goodwin,90.2
Jakob Johnson,6.0
Danny Gray,2.9
DeVante Parker,103.0
John Bates,30.8
Reggie Bonnafon,0.8
Amon-Ra St. Brown,267.6
Zonovan Knight,59.0
Kevin White,9.4
Josh Gordon,0.0
Najee Harris,227.7
Jalen Camp,1.7
Skyy Moore,49.4
Cade Otton,93.1
Jakobi Meyers,182.2
Maurice Alexander,1.7
Justin Jackson,51.1
J.K. Dobbins,81.2
Patrick Taylor Jr.,5.8
Tyreek Hill,341.2
Dameon Pierce,170.4
James Mitchell,28.3
Brock Wright,63.6
Alvin Kamara,219.7
Tommy Tremble,54.4
Ross Dwelley,19.5
Mason Kinsey,1.3
Tutu Atwell,63.2
Ty Montgomery,10.3
Jordan Wilkins,14.7
Tyron Johnson,1.8
Reggie Gilliam,20.9
K.J. Hamler,25.8
Josh Ali,0.0
DeVonta Smith,256.6
D.J. Moore,199.1
C.J. Uzomah,56.2
Cole Turner,4.3
Hassan Haskins,26.0
Jalen Virgil,15.5
Trenton Irwin,63.2
Tee Higgins,218.9
Khari Blasingame,0.0
Kendall Blanton,5.5
Foster Moreau,87.5
Andrew Beck,11.9
Travis Homer,45.1
Damiere Byrd,51.8
Deven Thompkins,10.8
Gunner Olszewski,14.2
James Cook,107.8
Giovanni Ricci,18.0
Leonard Fournette,228.2
Jason Moore,1.5
Dwayne Washington,5.5
Tanner Gentry,0.0
A.J. Dillon,167.5
Cameron Brate,37.4
Ashton Dulin,42.5
Kyren Williams,30.5
Jerick McKinnon,195.3
Darnell Mooney,101.5
Tyler Davis,6.6
Kylen Granson,61.2
D'Wayne Eskridge,13.8
Nick Westbrook-Ikhine,82.7
Jalen Guyton,8.4
Chris Godwin,224.8
Samori Toure,19.2
Geoff Swaim,23.8
Curtis Samuel,178.2
Steven Sims,31.4
Jaylen Waddle,261.2
Brandon Johnson,16.2
Stefon Diggs,316.6
Zay Jones,196.1
D'Andre Swift,189.1
Malcolm Brown,22.8
Zach Ertz,111.6
Drew Sample,1.8
Zach Gentry,32.2
Ezekiel Elliott,185.8
D.K. Metcalf,230.8
JuJu Smith-Schuster,189.3
Darius Slayton,130.4
Noah Fant,122.6
Dyami Brown,32.8
Dalton Schultz,144.7
Equanimeous St. Brown,64.7
Jarvis Landry,58.2
Cole Kmet,147.3
Jordan Akins,116.5
Amari Rodgers,43.1
Sony Michel,24.9
Laquon Treadwell,10.2
Mack Hollins,154.8
Romeo Doubs,103.6
Keaontay Ingram,18.5
J.D. McKissic,53.8
Eno Benjamin,87.5
Keenan Allen,168.4
Saquon Barkley,282.0
Richie James Jr.,138.5
Matt Breida,59.8
Cam Akers,145.3
Elijah Moore,88.1
Josiah Deguara,24.4
Godwin Igwebuike,1.7
Tre'Quan Smith,52.8
Donovan Peoples-Jones,163.1
Olamide Zaccheaus,112.0
Michael Thomas,51.1
Anthony Schwartz,20.8
Tanner Conner,0.0
Pharoh Cooper,4.1
Jaelon Darden,4.8
A.J. Green,59.6
CeeDee Lamb,301.6
Grant Calcaterra,13.1
Christian Watson,164.1
Jalen Tolbert,3.2
C.J. Board,1.6
Gus Edwards,61.3
Keke Coutee,3.0
Ray-Ray McCloud III,58.1
Mecole Hardman,93.8
Craig Reynolds,30.8
Richard Rodgers,1.4
Rondale Moore,87.9
Kendrick Bourne,88.3
Chris Myarick,19.5
Cam Sims,16.9
Marvin Jones Jr.,116.9
Van Jefferson,78.9
Giovani Bernard,4.7
John Brown,11.2
Montrell Washington,7.2
Tyquan Thornton,66.3
Deon Jackson,86.5
Tanner Hudson,23.2
Tyler Boyd,164.2
Trey Sermon,1.9
Chase Edmonds,74.2
Donald Parham,29.0
Mark Ingram II,52.1
Sammy Watkins,48.5
Isaiah Likely,91.3
Shi Smith,63.6
Chris Moore,115.1
Chuba Hubbard,89.8
Jalen Nailor,32.9
Ko Kieft,21.0
Trent Taylor,13.7
Cody Hollister,8.4
Chosen Anderson,54.2
Ke'Shawn Vaughn,10.2
Wan'Dale Robinson,51.6
Jonathan Taylor,152.4
Nelson Agholor,79.2
Irv Smith Jr.,55.2
Sterling Shepard,34.4
Velus Jones Jr.,40.1
Peyton Hendershot,39.5
Anthony Firkser,19.0
Robert Woods,117.7
Jaret Patterson,7.8
Avery Williams,36.0
Jahan Dotson,128.6
Andy Isabella,4.2
Jonathan Williams,26.2
Mike Gesicki,98.2
Larry Rountree III,5.3
Denzel Mims,28.6
Darren Waller,84.8
Boston Scott,46.2
Taysom Hill,128.1
George Kittle,202.5
Blake Bell,10.0
Dalvin Cook,246.9
Juwann Winfree,2.7
Lawrence Cager,30.8
DeAndre Carter,116.3
James Conner,202.3
Tyrie Cleveland,4.8
Travis Kelce,316.3
Trestan Ebner,8.2
Darrynton Evans,10.7
Quintez Cephus,3.5
Cade Johnson,4.1
Mike Evans,226.3
Mike Davis,4.2
Laviska Shenault Jr.,72.7
Trevon Wesco,4.6
Gerald Everett,137.5
Ben Ellefson,5.6
Charlie Woerner,0.0
D'Ernest Johnson,5.4
Evan Engram,174.9
Austin Ekeler,377.4
David Bell,45.4
Tyler Lockett,241.3
Rashod Bateman,55.5
Tyrion Davis-Price,9.9
Will Dissly,86.9
KaVontae Turpin,3.6
Jeff Wilson Jr.,162.5
Miles Boykin,3.1
Rex Burkhead,71.4
Trayveon Williams,8.0
Courtland Sutton,159.5
Austin Trammell,3.3
Raheem Blackshear,45.0
Penny Hart,5.0
Andre Baccellia,11.5
Corey Davis,97.6
Kenny Golladay,20.1
Tyler Mabry,7.7
Ty Johnson,42.8
Mike Williams,176.5
Alec Pierce,112.3
Byron Pringle,35.5
Josh Jacobs,330.3
Trey McBride,61.5
Chris Manhertz,10.2
Mason Schreck,2.6
Marcus Johnson,18.9
Ameer Abdullah,54.1
Nyheim Hines,69.4
Samaje Perine,142.1
Jake Kumerow,10.4
Ryan Griffin,6.6
Austin Hooper,97.4
Racey McMath,6.4
Antonio Gibson,165.9
Randall Cobb,81.7
Tevin Coleman,22.0
MyCole Pruitt,55.0
Albert Okwuegbunam,25.5
Durham Smythe,40.0
Kirk Merritt,0.0
Gabriel Davis,173.5
Devine Ozigbo,1.7
Jordan Mason,31.8
Salvon Ahmed,14.2
Jaylen Warren,93.3
Adam Trautman,44.7
Phillip Lindsay,12.8
Darrel Williams,21.1
Josh Palmer,167.2
Chris Olave,200.4
Braylon Sanders,3.7
Scotty Miller,42.3
Cody White,1.2
Kenneth Gainwell,88.0
Isaiah Spiller,8.4
Isaiah Hodgins,100.2
Rashid Shaheed,100.4
Devin Duvernay,110.1
Justin Jefferson,365.3
Keith Kirkwood,3.8
Jerome Ford,1.2
Jordan Howard,0.1
David Sills,21.6
James Robinson,88.6
Tyler Kroft,9.7
Rachaad White,144.8
Isaiah McKenzie,119.8
Rashaad Penny,52.2
Keelan Cole,30.1
Bryan Edwards,4.5
Dontrell Hilliard,77.2
Jason Cabinda,1.9
Kyle Juszczyk,53.6
Tyler Conklin,131.5
Jack Stoll,23.3
Khalil Herbert,117.9
Eric Saubert,35.8
Michael Carter,128.0
Kevin Harris,11.2
Tylan Wallace,7.3
Garrett Wilson,217.7
Quintin Morris,22.4
Deonte Harty,3.3
Joe Fortson,31.8
Tyler Higbee,152.0
Amari Cooper,248.0
James Washington,0.0
Jameson Williams,15.1
Julio Jones,70.4
Tom Kennedy,22.1
Teagan Quitoriano,30.3
Kadarius Toney,59.3
Greg Dortch,114.5
Jamaal Williams,227.9
Mike Boone,28.8
Anthony McFarland Jr.,6.1
George Pickens,164.5
Nick Bellore,0.3
Chris Evans,12.8
Colby Parkinson,69.2
Zach Pascal,36.0
Jamal Agnew,68.3
Marcedes Lewis,24.6
Royce Freeman,21.0
Darrell Henderson,73.5
Dareke Young,4.4
Marquez Valdes-Scantling,122.4
C.J. Ham,31.3
Dennis Houston,3.6
